3
Слово;Тип;Тип;Тип;Вывод
города;global;global;dep;Global
здания;local;global;local;Local
рощи;local;global;local;Local
замка;local;global;local;Local
господин;local;local;dep;Local
всего;local;local;local;Local
господин;local;global;local;Local
пожар;local;global;global;Global
сначала;local;local;local;Local
видимо;local;local;local;Local
возможно;local;local;local;Local
здания;local;local;local;Local
центре;local;local;local;Local
рим;local;global;global;Global
везде;local;local;local;Local
неугасаемый;local;local;local;Local
сегодня;local;local;local;Local
говорят;local;local;local;Local
огне;local;global;local;Local
моему;local;local;local;Local
мсье;local;local;local;Local
пожар;local;global;local;Local
когда;local;local;local;Local
вроде;local;local;local;Local
видимому;local;local;local;Local
трибун;local;local;local;Local
внезапно;local;local;local;Local
сударь;local;global;local;Local
главного;local;local;local;Local
