Пропуск,Слово,Семантическое поле ,Количество,агрегация ,
14,мосту,место в пространстве ,1,,
14,город,место в пространстве ,1,,
14,этого,-,1,,
14,всю эту боль,физическое состояние,1,,
14,чего,-,1,,
14,здесь,место в пространстве ,1,,
14,но ,-,1,,
14,толпы,наименование групп лиц,1,,
14,но все равно,-,1,,
14,посмотрел,глаголы созерцания,1,,
14,зрелище,наименование события,1,,
14,"несмотря на то, что",-,1,,
15,глашатаев,наименование групп лиц,13,,
15,людей,наименование групп лиц,8,,
15,толпы,наименование групп лиц,4,,
15,солдат,наименование групп лиц,3,,
15,женщин,наименование групп лиц,2,,
15,зевак,наименование групп лиц,2,,
15,легионеров,наименование групп лиц,2,,
15,простолюдинов,наименование групп лиц,1,,
15,отдельных людей,наименование групп лиц,1,,
15,стражников,наименование групп лиц,1,,
15,птиц,животные,1,,
15,громкий,характеритика звучания,1,,
16,греческом,Язык,12,,
16,латинском,Язык,5,,
16,арабском,Язык,3,,
16,иудейском,Язык,2,,
16,непонятных,вид,2,,
16,греческих,Язык,2,,
16,еврейском,Язык,1,,
16,латинских,Язык,1,,
16,своих,Принадлежность,1,,
16,сирийском,Язык,1,,
16,иудейских,Язык,1,,
16,туземских,Язык,1,,
16,арарийском,Язык,1,,
16,славянских,Язык,1,,
16,азербайджанском,Язык,1,,
16,иностранных,Язык,1,,
16,всех,вид,1,,
16,латыни,Язык,1,,
16,других,вид,1,,
16,немецком,Язык,1,,
16,турецком,Язык,1,,
16,разных,вид,1,,
17,труба,музыкальный инструмент,9,,
17,женщина,человек,4,,
17,крик,вид звука,3,,
17,ржание,вид звука,2,,
17,команда,наименования групп людей,2,,
17,шум,вид звука,2,,
17,появилась всадница,-,1,,
17,гул,вид звука,1,,
17,гонг,музыкальный инструмент,1,,
17,грохот,вид звука,1,,
17,лошадь,животное,1,,
17,рев,вид звука,1,,
17,шум когорты,вид звука,1,,
17,звук,вид звука,1,,
17,свист,вид звука,1,,
17,окрик,вид звука,1,,
17,скрежет,вид звука,1,,
17,крики,вид звука,1,,
17,птица,животное,1,,
17,голоса,вид звука,1,,
17,артиллерия,оружие,1,,
18,весело,эмоциональная характеристика,6,,
18,громко,качество силы/громкости звука,16,,
18,звонко,качество силы/громкости звука,4,,
18,невнятно,качество четкости звука,3,,
18,резко,качество четкости звука,3,,
18,отрывисто,качество четкости звука,2,,
18,ясно,качество четкости звука,1,,
