Пропуск,Слово,Семантическое поле,Количество
26,расспрашивать,глаголы речевой деятельности,8
26,распрашивать,глаголы речевой деятельности,5
26,кричать,глаголы речевой деятельности,5
26,говорить,глаголы речевой деятельности,2
26,разговор,речь,2
26,разговаривать,глаголы речевой деятельности,1
26,расспрашиватт,глаголы речевой деятельности,1
26,есть,глаголы физиологиеского действия,1
26,выспрашивать,глаголы речевой деятельности,1
26,речь,речь,1
26,гоготать,глаголы речевой деятельности,1
26,расспрашивать о пожаре,глаголы речевой деятельности,1
26,расспросы,речь,1
26,с ними диалог,речь,1
26,их спрашивать,глаголы речевой деятельности,1
26,опрос,речь,1
26,распросы,глаголы речевой деятельности,1
26,диалог,речь,1
26,допрашивать,глаголы речевой деятельности,1
26,задавать вопросы,глаголы речевой деятельности,1
27,города,место в пространстве,12
27,рима,место в пространстве,28
27,здания,сооружение,4
27,рощи,природа,1
27,замка,сооружение,1
28,господин,наименование человека по статусу,12
28,скорее всего,вероятность,3
28,мой господин,наименование человека по статусу,2
28,пожар,пожар,2
28,сначала,последовательность,2
28,видимо,вероятность,2
28,возможно,вероятность,1
28,здания,сооружение,1
28,в центре,направление,1
28,рим,место в пространстве,1
28,везде,место в пространстве,1
28,неугасаемый,огонь,1
28,сегодня,время,1
28,говорят,глаголы речевой деятельности,1
28,все в огне,пожар,1
28,по-моему,вероятность,1
28,мсье,наименование человека по статусу,1
28,сильный пожар,пожар,1
28,когда,-,1
28,вроде,вероятность,1
28,по-видимому,вероятность,1
28,трибун,место в пространстве,1
28,внезапно,время,1
28,сударь,наименование человека по статусу,1
29,большого,характеристика размера,5
29,главного,характеристика славы,7
29,ворот,часть сооружения,4
29,центрального,характеристика местоположения,3
29,приезжего,характеристика местоположения,2
29,входа,часть сооружения,2
29,старого,характеристика возраста,2
29,здания,сооружение,2
29,колизея,сооружение,1
29,странствующего,характеристика местоположения,1
29,популярного,характеристика славы,1
29,одного,количество,1
29,конюшен,сооружение,1
29,ближнего,характеристика местоположения,1
29,самого,характеристика славы,1
29,круглого,характеристика формы,1
29,городского,характеристика местоположения,1
29,местного,характеристика местоположения,1
29,шатра,сооружение,1
30,города,место в пространстве,23
30,рима,место в пространстве,9
30,здания,сооружение,2
30,цирка,сооружение,2
30,здаия,сооружение,1
30,площади,место в пространстве,1
30,двора,место в пространстве,1
30,рынка,место в пространстве,1
31,пламя,огонь,29
31,пока,время,4
31,огонь,огонь,3
31,оно,-,2
31,огниво,огонь,2
31,бедствие,беда,2
31,пожарище,огонь,1
31,задымление,огонь,1
31,бедствия,беда,1
32,новые,время относительно момента речи,4
32,все,количество,12
32,городские,характеристика местоположения,4
32,соседние,характеристика местоположения,4
32,жилые,характеристика здания,4
32,целые,характеристика целостности,3
32,огонь,огонь,2
32,на своём пути,характеристика местоположения,2
32,ближайшие,характеристика местоположения,2
32,другие,Отличие,1
32,жилык,характеристика здания,1
32,остальные,Отличие,1
32,по пути,характеристика местоположения,1
32,бедные,характеристика по матеральному состоянию,1
32,многие,количество,1
32,близлежащие,характеристика местоположения,1
32,все на своём пути,характеристика местоположения,1
32,центральные,характеристика местоположения,1
33,дыма,последствие пожара,27
33,удушья,последствие пожара,6
33,удушения,последствие пожара,2
33,гари,последствие пожара,2
33,давки,последствие пожара,2
33,людей,наименование групп лиц,1
33,голода,голод,1
33,этого,-,1
33,огня и дыма,последствие пожара,1
33,дым,последствие пожара,1
33,завалов,последствие пожара,1
34,подвели,глаголы перемещения объект,13
34,подали,глаголы перемещения объект,17
34,привели,глаголы перемещения объект,11
34,оседлал,глаголы воздействия на объект,2
34,дали,глаголы перемещения объект,1
34,приданное,имущество,1
34,взял,глаголы воздействия на объект,1
34,вывели,глаголы перемещения объект,1
35,вскочил,глаголы действия над конем,25
35,сел,глаголы действия над конем,13
35,запрыгнул,глаголы действия над конем,5
35,взглянул,глаголы созерцания,2
35,залез,глаголы действия над конем,2
