,index,words,values
201,202,"почернеть, потемнеть","[[0], [1]]"
202,203,весло,[[0]]
203,204,"гражданка, гражданин","[[0], [0]]"
204,205,"скамейка, лавочка","[[0], [0]]"
205,206,публика,[[0]]
206,207,квадрат,[[0]]
207,208,луна,"[[0, 1]]"
208,209,золотой,[[0]]
209,210,"заметить, увидеть, узнать","[[0], [-1, 0], [-1]]"
210,211,рассказ,[[0]]
211,212,вечер,[[0]]
212,213,"рассказывать, сделать, говорить, рассказать","[[0], [3], [2, 3, 3], [0]]"
213,214,"рассказывать, говорить, сделать","[[0], [2, 3, 3], [3]]"
214,215,"лицо, профиль","[[0], [-1]]"
215,216,рассказ,[[0]]
216,217,"рассказ, предание","[[0], [-2]]"
217,218,"отозваться, сказать, ответить, отвечать","[[0], [2], [1, 2], [1, 2]]"
218,219,"написать, прописать","[[0], [-2, 0]]"
219,220,"источник, документ, текст","[[0], [1], [2]]"
220,221,"осечься, замяться","[[0], [0]]"
221,222,"идти, прогуливаться, гулять, шагать, ходить, пойти, проходить, побрести","[[0], [-1], [-1], [0], [0], [0], [0], [-1]]"
222,223,"подтвердить, сказать","[[0], [3]]"
223,224,"рассказывать, рассказать, сказать, поведать, говорить, пояснить, сделать, сообщить, показать","[[0], [0], [2, 3, 3], [1, 2, 3], [2, 3, 3], [2], [3], [1, 2, 3], [-1]]"
224,225,подтвердить,[[0]]
225,226,ломаный,[[0]]
226,227,"поманить, подозвать, позвать, манить","[[0], [1], [2], [0]]"
227,228,наклониться,[[0]]
228,229,появляться,[[0]]
229,230,"заговорить, сказать, произнести, проговорить, промолвить","[[0], [1], [0], [0], [0]]"
230,231,"присутствовать, быть","[[0], [0, 1]]"
231,232,балкон,[[0]]
232,233,,[]
233,234,секрет,[[0]]
