Слово;Тип;Тип;Тип;Вывод;Пропуск;Верно?
один;local;local;local;Local;34;0
сказать;local;local;local;Local;34;0
кому;local;local;local;Local;34;0
комнате;local;local;local;Local;34;0
невидимый;local;global;global;Global;34;0
человек;local;local;local;Local;34;0
секрет;local;global;dep;Global;35;1
молчок;local;global;dep;Global;35;0
порядок;local;local;local;Local;35;0
конец;local;local;local;Local;35;0
мужик;local;local;local;Local;35;0
шухер;local;local;local;Local;35;0
штиль;local;local;local;Local;35;0
товарищ;local;local;local;Local;35;0
скрет;local;global;dep;Global;35;0
этом;local;global;dep;Global;35;0
