1
Слово;Тип;Тип;Тип;Итог;Пропуск;Верно
толпы;local;local;local;Local;15;0
солдат;local;global;global;global;15;0
женщин;local;local;local;Local;15;0
зевак;local;local;local;Local;15;0
легионеров;local;global;global;global;15;0
простолюдинов;local;global;local;Local;15;0
людей;local;local;local;Local;15;0
стражников;local;global;global;global;15;0
птиц;local;dep;local;Local;15;0
громкий;local;dep;local;Local;15;0
греческом;global;global;global;Global;16;1
латинском;global;global;global;Global;16;0
арабском;global;global;global;Global;16;0
иудейском;global;global;global;Global;16;0
непонятных;local;local;local;Local;16;0
греческих;global;global;global;global;16;0
еврейском;global;global;global;global;16;0
латинских;global;global;global;global;16;0
своих;local;local;local;Local;16;0
сирийском;global;global;global;global;16;0
иудейских;global;global;global;global;16;0
туземских;global;global;local;global;16;0
арарийском;global;dep;dep;Dep;16;0
славянских;global;dep;local;global;16;0
азербайджанском;global;dep;local;global;16;0
иностранных;local;local;local;local;16;0
всех;local;local;local;Local;16;0
латыни;global;global;global;global;16;0
других;local;local;local;Local;16;0
немецком;local;dep;local;Local;16;0
турецком;global;dep;local;global;16;0
разных;local;local;local;Local;16;0
труба;global;global;global;global;17;1
женщина;local;local;local;Local;17;0
крик;local;local;local;Local;17;0
ржание;local;local;local;Local;17;0
команда;local;dep;local;Local;17;0
шум;local;local;local;Local;17;0
всадница;local;dep;local;Local;17;0
гул;local;local;local;Local;17;0
гонг;global;dep;local;Local;17;0
грохот;local;local;local;Local;17;0
лошадь;local;local;local;Local;17;0
рев;local;local;local;Local;17;0
когорты;local;global;dep;Dep;17;0
звук;local;local;local;Local;17;0
свист;local;local;local;Local;17;0
окрик;local;local;local;Local;17;0
скрежет;local;local;local;Local;17;0
крики;local;local;local;Local;17;0
птица;local;dep;dep;Dep;17;0
голоса;local;local;local;Local;17;0
артиллерия;local;local;local;Local;17;0
громко;local;local;local;Local;18;0
весело;local;local;local;Local;18;1
звонко;local;local;local;Local;18;0
невнятно;local;local;local;Local;18;0
резко;local;local;local;Local;18;0
отрывисто;local;local;local;Local;18;0
ясно;local;local;local;Local;18;0
зло;local;local;local;Local;18;0
отчаянно;local;local;global;Local;18;0
тихо;local;dep;local;Local;18;0
женщина;local;local;dep;Local;18;0
пронзительно;local;local;local;Local;18;0
звучно;local;local;local;Local;18;0
надрывно;local;local;global;Local;18;0
зычно;local;local;local;Local;18;0
понятно;local;local;local;Local;18;0
невзрачно;local;dep;local;Local;18;0
быстро;local;local;local;Local;18;0
мальчишек;local;local;global;Local;19;1
ветра;local;local;local;Local;19;0
стрел;local;local;local;Local;19;0
людей;local;local;global;Local;19;0
птиц;local;local;local;Local;19;0
труб;global;local;local;Local;19;0
толпы;global;local;global;Local;19;0
раздавшийся;local;local;local;Local;19;0
исходящий;local;local;local;Local;19;0
камней;local;local;global;Local;19;0
доносящийся;local;local;local;Local;19;0
ребят;local;local;local;Local;19;0
голодранцев;local;dep;local;Local;19;0
дрелей;local;dep;local;Local;19;0
падающий;local;local;local;Local;19;0
человека;local;local;local;Local;19;0
плетей;local;local;global;Local;19;0
зевак;global;local;global;global;19;0
донесшийся;local;local;local;Local;19;0
прямо;local;local;local;Local;19;0
воробья;local;local;local;Local;19;0
громкий;local;local;local;Local;19;0
пращенников;local;dep;dep;Dep;19;0
солдат;global;global;global;global;20;1
человек;local;local;local;Local;20;0
пилат;global;global;global;Global;20;0
он;local;global;local;Local;20;0
стражник;local;global;global;global;20;0
легионер;global;global;global;global;20;0
мужчина;local;local;local;Local;20;0
ленин;dep;dep;dep;Dep;20;0
глашатай;local;global;global;global;20;0
иешуа;global;global;global;global;20;0
страж;local;global;global;global;20;0
советник;local;global;global;global;20;0
великий;local;global;local;Local;20;0
командир;global;global;global;global;20;0
когорты;global;global;global;global;20;0
