2_merge
;Слово;user_0;user_1;user_2;Вывод
392;зашли;local;dep;local;Local
393;здании;global;local;local;Local
394;зданию;local;local;local;Local
395;здесь;local;local;local;Local
396;здесь;local;local;global;Local
422;здоровье;local;global;local;Local
423;здоровьи;global;global;local;Global
424;злополучном;local;global;global;Global
425;знает;local;local;local;Local
426;знаком;local;dep;local;Local
427;значения;local;global;local;Local
491;зрачки;local;local;local;Local
492;зря;local;dep;local;Local
493;зубы;local;global;local;Local
494;и;local;local;local;Local
501;и;local;dep;local;Local
506;и;local;global;local;Local
513;и;none;local;local;Local
558;ивращённо;local;global;local;Local
559;идеей;local;dep;local;Local
560;избежать;local;local;local;Local
561;извращенно;local;global;local;Local
562;изделиями;local;local;local;Local
563;излишним;local;local;local;Local
564;изменилось;local;local;local;Local
565;изучать;local;local;local;Local
566;имеет;local;dep;local;Local
567;имели;local;local;local;Local
568;иначе;local;local;local;Local
569;ингаляции;global;dep;local;Dep
570;индивид;local;local;local;Local
571;иному;local;local;local;Local
572;инструментами;global;global;local;Global
573;инструменты;global;global;global;Global
574;инструменты;global;global;local;Global
575;инструменты;global;local;global;Global
576;инструменты;global;local;local;Local
577;инструменты;local;global;global;Global
578;инструменты;local;global;local;Local
579;инструменты;local;local;global;Local
580;инструменты;local;local;local;Local
581;интересным;local;local;local;Local
582;интересовало;local;dep;local;Local
583;информацией;local;dep;local;Local
584;информацию;local;dep;local;Local
585;искажённо;local;global;local;Local
586;исполнить;local;local;local;Local
587;истории;local;local;local;Local
588;историю;local;local;local;Local
589;исчезли;none;dep;local;Dep
590;итди;local;local;local;Local
591;кабинете;global;global;local;Global
592;кабинете;global;global;global;Global
593;кабинете;global;local;local;Local
594;кабинете;global;local;global;Global
599;канделябры;global;local;local;Local
600;картотеку;local;global;local;Local
601;катушки;local;global;local;Local
602;кашляет;local;global;local;Local
603;кашлял;local;global;local;Local
604;книгу;local;local;local;Local
605;кованные;local;local;local;Local
606;ковру;local;dep;local;Local
607;кого;local;local;local;Local
608;кожанные;local;local;local;Local
609;кожаные;local;local;local;Local
610;коже;local;local;local;Local
611;колбами;global;dep;local;Local
612;коленях;local;local;local;Local
613;колидору;dep;dep;local;Dep
614;кололо;local;none;local;Local
615;колпаками;local;local;local;Local
618;колпаками;local;dep;local;Local
619;колпаками;global;local;local;Local
623;комнате;local;local;local;Local
624;компонентами;global;local;global;Global
625;компьютере;local;dep;local;Local
626;коридору;local;local;local;Local
634;корридору;local;dep;local;Local
635;которым;local;dep;local;Local
636;красками;local;dep;local;Local
637;кресла;global;local;local;Local
638;кричатт;local;dep;local;Local
639;крушить;local;local;local;Local
640;курил;local;global;local;Local
641;лампочками;local;local;local;Local
642;лампочки;local;local;local;Local
643;лампы;local;global;local;Local
644;легались;local;global;local;Local
645;легкий;local;local;local;Local
646;легким;local;local;local;Local
647;лестнице;local;local;local;Local
648;лесу;local;local;local;Local
649;лечил;local;local;local;Local
650;лечился;local;global;local;Local
651;ли;local;global;local;Local
652;линзами;local;dep;global;Local
653;личном;local;global;local;Local
654;личности;local;global;local;Local
655;лучше;none;local;local;Local
656;люстры;global;local;local;Local
657;магниты;local;dep;local;Local
658;маленькие;local;global;local;Local
659;манил;local;global;local;Local
660;машины;global;global;local;Global
661;мебелью;local;dep;local;Local
662;меньше;local;dep;local;Local
663;месте;local;local;local;Local
664;место;local;local;local;Local
665;металлические;local;local;local;Local
666;механизмы;global;global;local;Global
673;механизмы;local;global;local;Local
674;миг;local;local;local;Local
675;многолетний;local;local;local;Local
676;многочисленный;local;local;local;Local
677;молчания;global;dep;local;Global
678;молчать;local;global;local;Local
681;молчать;local;dep;local;Local
682;молчать;global;global;local;Global
685;молчать;global;dep;local;Global
686;мрачному;local;global;local;Local
687;мститель;local;local;local;Local
688;мудрый;global;dep;local;Local
689;мужчина;local;dep;local;Local
690;муторным;local;local;local;Local
691;мучился;local;local;local;Local
692;мыщцу;local;global;local;Local
693;мягкие;local;local;local;Local
694;наблюдали;local;dep;local;Local
695;нагреватели;global;global;local;Global
696;надобность;local;dep;local;Local
697;надписями;local;dep;local;Local
698;наказан;local;global;global;Global
699;наручники;local;dep;local;Local
700;нарушитель;local;local;global;Local
701;настоящего;local;global;local;Local
702;настоящем;local;local;local;Local
703;настоящем;local;local;global;Local
710;настоящий;local;global;local;Local
711;находиться;local;local;local;Local
712;началось;local;local;local;Local
713;наш;local;local;local;Local
714;небольшие;local;global;local;Local
715;небольшом;local;local;local;Local
716;невежественный;local;local;local;Local
